,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
tomytenu,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @sku11ster: ?? AK-47 NEON REVOLUTION
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/5DTATznIzL
(Post Proof)

Good luc…",https://www.youtube.com/watch?v=qDsM362JZ8A&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:17,https://twitter.com/#!/tomytenu/status/1530644327717822464,,,1530644327717822464,
tomytenu,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @sku11ster: ?? $22 AK-47 EMPRESS
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/K2LkwpHfVM
(Post Proof)

Good luck ??-…",https://www.youtube.com/watch?v=N4BRw38Bt60&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:17,https://twitter.com/#!/tomytenu/status/1530644400375840771,,,1530644400375840771,
endgamebrazil,luhflickzz,,,,,,,,,,,,,Replies to,28/05/2022 20:17,"@LuhFlickzz #CSGO [ESL VALENCIA QUALIFIER] MD3 Vertigo 

(CT) #GoEND 13 ?? 13 #Redragon  (TR)

Tudo igual, que jogão!",,,csgo goend redragon,28/05/2022 20:17,https://twitter.com/#!/endgamebrazil/status/1530644438262882304,,,1530644438262882304,1530640937470373889
leandroescobar_,valentinn007,,,,,,,,,,,,,Mentions,28/05/2022 20:17,RT @Valentinn007: Volvi a jugar CSGO después de meses https://t.co/uzY60R6pZi,,,,28/05/2022 20:17,https://twitter.com/#!/leandroescobar_/status/1530644469900787712,,,1530644469900787712,
justl0rd,slx_csgo,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @kelp1x: MORE GIVEAWAYS!

?? 5350 VALORANT POINT GIVEAWAY ($50) ??

To Enter: 

- Follow 
@kelp1x

 &amp; 
@SLX_CSGO 
 
 ?
- Like + RT this tw…",,,,28/05/2022 20:17,https://twitter.com/#!/justl0rd/status/1530644339591897090,,,1530644339591897090,
justl0rd,slx_csgo,,,,,,,,,,,,,Mentions,28/05/2022 20:17,@kelp1x @SLX_CSGO my fav skin rn is origin vandal or gaya vandal,,,,28/05/2022 20:17,https://twitter.com/#!/justl0rd/status/1530644504860102658,,,1530644504860102658,1530614506920894464
justl0rd,kelp1x,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @kelp1x: MORE GIVEAWAYS!

?? 5350 VALORANT POINT GIVEAWAY ($50) ??

To Enter: 

- Follow 
@kelp1x

 &amp; 
@SLX_CSGO 
 
 ?
- Like + RT this tw…",,,,28/05/2022 20:17,https://twitter.com/#!/justl0rd/status/1530644339591897090,,,1530644339591897090,
justl0rd,kelp1x,,,,,,,,,,,,,Replies to,28/05/2022 20:17,@kelp1x @SLX_CSGO my fav skin rn is origin vandal or gaya vandal,,,,28/05/2022 20:17,https://twitter.com/#!/justl0rd/status/1530644504860102658,,,1530644504860102658,1530614506920894464
slek_cs,tonyeditss,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @tonyeditss: ??? Hand Wraps | Desert Shamagh [FT] Skin Giveaway
??Follow me
??Like &amp; RT
??Show love on my new video.
(must leave proof)
h…",,,,28/05/2022 20:17,https://twitter.com/#!/slek_cs/status/1530644532932534273,,,1530644532932534273,
brianso29260688,jovzek,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @jovzek: Crazy giveaway! 
To enter!
1. Watch video I hitted 20%... CS:GO TRADEUPS
https://t.co/4p2SJ9ANQN
2. Like + retweet
3. Send to a…",https://www.youtube.com/watch?v=82KZdDL3xiI&feature=youtu.be,youtube.com,,28/05/2022 20:13,https://twitter.com/#!/brianso29260688/status/1530643519781711873,,,1530643519781711873,
brianso29260688,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:13,https://twitter.com/#!/brianso29260688/status/1530643409412800514,,,1530643409412800514,
brianso29260688,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @sku11ster: ?? $22 AK-47 EMPRESS
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/K2LkwpHfVM
(Post Proof)

Good luck ??-…",https://www.youtube.com/watch?v=N4BRw38Bt60&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:18,https://twitter.com/#!/brianso29260688/status/1530644603736571904,,,1530644603736571904,
watulookinathoe,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:18,https://twitter.com/#!/watulookinathoe/status/1530644614088118272,,,1530644614088118272,
hakansaygn16,nerfapp,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @madennCS: NERF ? @madennCS M9 Tiger Tooth GIVEAWAY!
??To enter, make sure that you:
??Follow @NERFapp &amp; @madennCS
??Like ? Retweet this t…",,,,28/05/2022 20:18,https://twitter.com/#!/hakansaygn16/status/1530644646417911809,,,1530644646417911809,
hakansaygn16,madenncs,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @madennCS: NERF ? @madennCS M9 Tiger Tooth GIVEAWAY!
??To enter, make sure that you:
??Follow @NERFapp &amp; @madennCS
??Like ? Retweet this t…",,,,28/05/2022 20:18,https://twitter.com/#!/hakansaygn16/status/1530644646417911809,,,1530644646417911809,
amyraspberry,8084,,,,,,,,,,,,,Mentions,28/05/2022 20:18,@scam_cs @land_csgo @8084 This is fucking sick wtf,,,,28/05/2022 20:18,https://twitter.com/#!/amyraspberry/status/1530644650905804804,,,1530644650905804804,1530458990450188289
amyraspberry,land_csgo,,,,,,,,,,,,,Mentions,28/05/2022 20:18,@scam_cs @land_csgo @8084 This is fucking sick wtf,,,,28/05/2022 20:18,https://twitter.com/#!/amyraspberry/status/1530644650905804804,,,1530644650905804804,1530458990450188289
amyraspberry,scam_cs,,,,,,,,,,,,,Replies to,28/05/2022 20:18,@scam_cs @land_csgo @8084 This is fucking sick wtf,,,,28/05/2022 20:18,https://twitter.com/#!/amyraspberry/status/1530644650905804804,,,1530644650905804804,1530458990450188289
sobraowo,itsglow1,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @sku11ster: ?? AK-47 REDLINE (FT)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Tag 2 Friends
?-Follow: @ItsGlow1 + @sku11ster 

Good luck ??-E…",,,csgogiveaway,28/05/2022 20:18,https://twitter.com/#!/sobraowo/status/1530644699022872578,,,1530644699022872578,
sobraowo,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @sku11ster: ?? $22 AK-47 EMPRESS
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/K2LkwpHfVM
(Post Proof)

Good luck ??-…",https://www.youtube.com/watch?v=N4BRw38Bt60&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:16,https://twitter.com/#!/sobraowo/status/1530644111463702531,,,1530644111463702531,
sobraowo,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @sku11ster: ?? AK-47 REDLINE (FT)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Tag 2 Friends
?-Follow: @ItsGlow1 + @sku11ster 

Good luck ??-E…",,,csgogiveaway,28/05/2022 20:18,https://twitter.com/#!/sobraowo/status/1530644699022872578,,,1530644699022872578,
csgo_yattenai,csgo_yattenai,,,,,,,,,,,,,Tweet,28/05/2022 20:19,????????? https://t.co/sqAtG5V8wu,,,,28/05/2022 20:19,https://twitter.com/#!/csgo_yattenai/status/1530644901188489216,,,1530644901188489216,
csgo_dinker,exodiasecret,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @ExodiaSecret: ??New Datdrop Giveaway??
??2 winners????984$??

??Retweet &amp; Tag 2
?Random Retweet Get 50$
??Min deposit 500$(Full Screen)?05/25…",,,,28/05/2022 20:14,https://twitter.com/#!/csgo_dinker/status/1530643796374978560,,,1530643796374978560,
csgo_dinker,exodiasecret,,,,,,,,,,,,,Replies to,28/05/2022 20:14,@ExodiaSecret @Night_Fury1005 @ragingtrexel,,,,28/05/2022 20:14,https://twitter.com/#!/csgo_dinker/status/1530643816562274305,,,1530643816562274305,1529498062971871234
csgo_dinker,trippydeadapes,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @Trippydeadapes: ??Trippy Dead Apes Whitelist GIVEAWAY!??

Prizes:
 1 x 2 $SOL(90$)
 25 x Whitelist

To enter:
 1??Follow @Trippydeadapes…",,,,28/05/2022 20:15,https://twitter.com/#!/csgo_dinker/status/1530644051040550912,,,1530644051040550912,
csgo_dinker,gemhostofficial,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @gemhostofficial: $50 | 700K ~ ends in 4 hours

 • RT &amp; Follow @CuBeanz
 • RT , like &amp; Tag 3 friends on their 2 latest tweets",,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644193340796929,,,1530644193340796929,
csgo_dinker,hoshieden,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @CuBeanz: ??GIVEAWAY ?

?? 5× WL  @AkunoGang 
?? 5× WL  @HoshiEDEN 
?? 2× FREE  @CuBeanz at mint

To enter ?? (Must) 
- FOLLOW: @CuBeanz &amp; al…",,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644267831541762,,,1530644267831541762,
csgo_dinker,hoshieden,,,,,,,,,,,,,Mentions,28/05/2022 20:16,@CuBeanz @AkunoGang @HoshiEDEN @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644310802276352,,,1530644310802276352,1530615333702324225
csgo_dinker,akunogang,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @CuBeanz: ??GIVEAWAY ?

?? 5× WL  @AkunoGang 
?? 5× WL  @HoshiEDEN 
?? 2× FREE  @CuBeanz at mint

To enter ?? (Must) 
- FOLLOW: @CuBeanz &amp; al…",,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644267831541762,,,1530644267831541762,
csgo_dinker,akunogang,,,,,,,,,,,,,Mentions,28/05/2022 20:16,@CuBeanz @AkunoGang @HoshiEDEN @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644310802276352,,,1530644310802276352,1530615333702324225
csgo_dinker,kratos47god,,,,,,,,,,,,,Mentions,28/05/2022 20:16,@CuBeanz @AkunoGang @HoshiEDEN @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644310802276352,,,1530644310802276352,1530615333702324225
csgo_dinker,kratos47god,,,,,,,,,,,,,Mentions,28/05/2022 20:17,@CuBeanz @AzukiOfficial @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:17,https://twitter.com/#!/csgo_dinker/status/1530644377357410310,,,1530644377357410310,1530618859098718209
csgo_dinker,ragingtrexel,,,,,,,,,,,,,Mentions,28/05/2022 20:14,@ExodiaSecret @Night_Fury1005 @ragingtrexel,,,,28/05/2022 20:14,https://twitter.com/#!/csgo_dinker/status/1530643816562274305,,,1530643816562274305,1529498062971871234
csgo_dinker,ragingtrexel,,,,,,,,,,,,,Mentions,28/05/2022 20:16,@CuBeanz @AkunoGang @HoshiEDEN @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644310802276352,,,1530644310802276352,1530615333702324225
csgo_dinker,ragingtrexel,,,,,,,,,,,,,Mentions,28/05/2022 20:17,@CuBeanz @AzukiOfficial @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:17,https://twitter.com/#!/csgo_dinker/status/1530644377357410310,,,1530644377357410310,1530618859098718209
night_fury1005,csgo_dinker,,,,,,,,,,,,,Replies to,28/05/2022 20:16,@csgo_dinker https://t.co/PmBzxUW8hA,,,,28/05/2022 20:16,https://twitter.com/#!/night_fury1005/status/1530644127573942272,,,1530644127573942272,1530643643215790080
csgo_dinker,night_fury1005,,,,,,,,,,,,,Replies to,28/05/2022 20:14,@Night_Fury1005 https://t.co/cQSAXeoKp7,,,,28/05/2022 20:14,https://twitter.com/#!/csgo_dinker/status/1530643643215790080,,,1530643643215790080,1530643289463869441
csgo_dinker,night_fury1005,,,,,,,,,,,,,Mentions,28/05/2022 20:14,@ExodiaSecret @Night_Fury1005 @ragingtrexel,,,,28/05/2022 20:14,https://twitter.com/#!/csgo_dinker/status/1530643816562274305,,,1530643816562274305,1529498062971871234
csgo_dinker,night_fury1005,,,,,,,,,,,,,Mentions,28/05/2022 20:16,@CuBeanz @AkunoGang @HoshiEDEN @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644310802276352,,,1530644310802276352,1530615333702324225
csgo_dinker,night_fury1005,,,,,,,,,,,,,Mentions,28/05/2022 20:17,@CuBeanz @AzukiOfficial @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:17,https://twitter.com/#!/csgo_dinker/status/1530644377357410310,,,1530644377357410310,1530618859098718209
csgo_dinker,azukiofficial,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @CuBeanz: The @AzukiOfficial Beanz and the Podawa @CuBeanz battle has started..???

• Interact with this post if you want to know the who…",,,,28/05/2022 20:17,https://twitter.com/#!/csgo_dinker/status/1530644347556855809,,,1530644347556855809,
csgo_dinker,azukiofficial,,,,,,,,,,,,,Mentions,28/05/2022 20:17,@CuBeanz @AzukiOfficial @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:17,https://twitter.com/#!/csgo_dinker/status/1530644377357410310,,,1530644377357410310,1530618859098718209
csgo_dinker,cubeanz,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @gemhostofficial: $50 | 700K ~ ends in 4 hours

 • RT &amp; Follow @CuBeanz
 • RT , like &amp; Tag 3 friends on their 2 latest tweets",,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644193340796929,,,1530644193340796929,
csgo_dinker,cubeanz,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @CuBeanz: ??GIVEAWAY ?

?? 5× WL  @AkunoGang 
?? 5× WL  @HoshiEDEN 
?? 2× FREE  @CuBeanz at mint

To enter ?? (Must) 
- FOLLOW: @CuBeanz &amp; al…",,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644267831541762,,,1530644267831541762,
csgo_dinker,cubeanz,,,,,,,,,,,,,Replies to,28/05/2022 20:16,@CuBeanz @AkunoGang @HoshiEDEN @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:16,https://twitter.com/#!/csgo_dinker/status/1530644310802276352,,,1530644310802276352,1530615333702324225
csgo_dinker,cubeanz,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @CuBeanz: The @AzukiOfficial Beanz and the Podawa @CuBeanz battle has started..???

• Interact with this post if you want to know the who…",,,,28/05/2022 20:17,https://twitter.com/#!/csgo_dinker/status/1530644347556855809,,,1530644347556855809,
csgo_dinker,cubeanz,,,,,,,,,,,,,Replies to,28/05/2022 20:17,@CuBeanz @AzukiOfficial @Night_Fury1005 @ragingtrexel @Kratos47God,,,,28/05/2022 20:17,https://twitter.com/#!/csgo_dinker/status/1530644377357410310,,,1530644377357410310,1530618859098718209
csgo_dinker,memescrypto_,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @MemesCrypto_: ??FREE #NFT GIVEAWAY ?? 

Worth 2.4 #ETH ($4,436)

?? Follow Me ??
?? Retweet &amp; ?? 

24H ?

#NFTGiveaway #NFTCommunity https…",,,nft eth nftgiveaway nftcommunity,28/05/2022 20:18,https://twitter.com/#!/csgo_dinker/status/1530644653044903949,,,1530644653044903949,
csgo_dinker,memescrypto_,,,,,,,,,,,,,Replies to,28/05/2022 20:19,@MemesCrypto_ https://t.co/ARHKmvJwme,,,,28/05/2022 20:19,https://twitter.com/#!/csgo_dinker/status/1530644854870614016,,,1530644854870614016,1530585943492763648
csgo_dinker,blendeezer,,,,,,,,,,,,,Mentions,28/05/2022 20:19,@StronkJw @Blendeezer,,,,28/05/2022 20:19,https://twitter.com/#!/csgo_dinker/status/1530644929608810496,,,1530644929608810496,1530644676893720583
csgo_dinker,stronkjw,,,,,,,,,,,,,Replies to,28/05/2022 20:19,@StronkJw @Blendeezer,,,,28/05/2022 20:19,https://twitter.com/#!/csgo_dinker/status/1530644929608810496,,,1530644929608810496,1530644676893720583
csgo_dinker,ethlilly,,,,,,,,,,,,,Replies to,28/05/2022 20:19,@EthLilly 0x5BC56fa0FbD6ca2A0216bD0CCCcdc5Bf3a0b30Dd,,,,28/05/2022 20:19,https://twitter.com/#!/csgo_dinker/status/1530645003332112385,,,1530645003332112385,1530557445613006848
artomlc,csgo,,,,,,,,,,,,,Mentions,28/05/2022 20:19,@Swes_CSGO @CSGO Champions league nog bezig pik,,,,28/05/2022 20:19,https://twitter.com/#!/artomlc/status/1530645051285639174,,,1530645051285639174,1530640468840685571
artomlc,swes_csgo,,,,,,,,,,,,,Replies to,28/05/2022 20:19,@Swes_CSGO @CSGO Champions league nog bezig pik,,,,28/05/2022 20:19,https://twitter.com/#!/artomlc/status/1530645051285639174,,,1530645051285639174,1530640468840685571
ainnhhoaa,ainnhhoaa,,,,,,,,,,,,,Tweet,28/05/2022 20:19,NO ME JODASSASSS me csgo en la puta joder,,,,28/05/2022 20:19,https://twitter.com/#!/ainnhhoaa/status/1530645073523884033,,,1530645073523884033,
tomassantos0604,rmn_csgo,,,,,,,,,,,,,Mentions,28/05/2022 20:20,RT @B24Esports: .@justtcsgo e @rmn_csgo empurraram os SAW para a Grande Final da MLP ?? https://t.co/PFP0ckkUBe,,,,28/05/2022 20:20,https://twitter.com/#!/tomassantos0604/status/1530645114640650241,,,1530645114640650241,
tomassantos0604,justtcsgo,,,,,,,,,,,,,Mentions,28/05/2022 20:20,RT @B24Esports: .@justtcsgo e @rmn_csgo empurraram os SAW para a Grande Final da MLP ?? https://t.co/PFP0ckkUBe,,,,28/05/2022 20:20,https://twitter.com/#!/tomassantos0604/status/1530645114640650241,,,1530645114640650241,
tomassantos0604,b24esports,,,,,,,,,,,,,Mentions,28/05/2022 20:20,RT @B24Esports: .@justtcsgo e @rmn_csgo empurraram os SAW para a Grande Final da MLP ?? https://t.co/PFP0ckkUBe,,,,28/05/2022 20:20,https://twitter.com/#!/tomassantos0604/status/1530645114640650241,,,1530645114640650241,
gamecenter34,gamecenter34,,,,,,,,,,,,,Tweet,28/05/2022 20:19,"N'oubliez pas, les inscriptions à la #StudentCup sont toujours ouvertes ??
(et ce jusqu'au 4 juin ??)

#CSGO… https://t.co/Pbfee6ScZT",https://twitter.com/i/web/status/1530644845689073665,twitter.com,studentcup csgo,28/05/2022 20:19,https://twitter.com/#!/gamecenter34/status/1530644845689073665,,,1530644845689073665,1530644839955582979
syleam555,gamecenter34,,,,,,,,,,,,,Mentions,28/05/2022 20:20,"RT @GameCenter34: N'oubliez pas, les inscriptions à la #StudentCup sont toujours ouvertes ??
(et ce jusqu'au 4 juin ??)

#CSGO #RocketLeague…",,,studentcup csgo rocketleague,28/05/2022 20:20,https://twitter.com/#!/syleam555/status/1530645129668829186,,,1530645129668829186,
jsiz_jared,newthreat,,,,,,,,,,,,,Mentions,28/05/2022 20:20,RT @TakeFlyteGG: Don't miss our intense #ESEA Advanced Week 4 Highlights where we had extremely close #CSGO matches against @NewThreat and…,,,esea csgo,28/05/2022 20:20,https://twitter.com/#!/jsiz_jared/status/1530645143048568832,,,1530645143048568832,
takeflytegg,takeflytegg,,,,,,,,,,,,,Tweet,28/05/2022 20:15,Don't miss our intense #ESEA Advanced Week 4 Highlights where we had extremely close #CSGO matches against… https://t.co/cT2YdV9KsV,https://twitter.com/i/web/status/1530643906102190081,twitter.com,esea csgo,28/05/2022 20:15,https://twitter.com/#!/takeflytegg/status/1530643906102190081,,,1530643906102190081,
jsiz_jared,takeflytegg,,,,,,,,,,,,,Mentions,28/05/2022 20:20,RT @TakeFlyteGG: Don't miss our intense #ESEA Advanced Week 4 Highlights where we had extremely close #CSGO matches against @NewThreat and…,,,esea csgo,28/05/2022 20:20,https://twitter.com/#!/jsiz_jared/status/1530645143048568832,,,1530645143048568832,
martabeniiteez,martabeniiteez,,,,,,,,,,,,,Tweet,28/05/2022 20:20,ME CSGO EN LA PUTA,,,,28/05/2022 20:20,https://twitter.com/#!/martabeniiteez/status/1530645159620247554,,,1530645159620247554,
omzzzer,omzzzer,,,,,,,,,,,,,Tweet,28/05/2022 20:20,Found this new bug where it looks like yoru has a glove on his right hand. pretty cool cant lie. Riot make this a t… https://t.co/M2obN6WSCA,https://twitter.com/i/web/status/1530645214788038658,twitter.com,,28/05/2022 20:20,https://twitter.com/#!/omzzzer/status/1530645214788038658,,,1530645214788038658,
egamersworld,egamersworld,,,,,,,,,,,,,Tweet,28/05/2022 20:20,"OverDrive: ""Replacing BoombI4 is the easiest scenario for NAVI""

The insider also confirmed the information that th… https://t.co/iFWSMWaIw0",https://twitter.com/i/web/status/1530645219305263104,twitter.com,,28/05/2022 20:20,https://twitter.com/#!/egamersworld/status/1530645219305263104,,,1530645219305263104,
matatan2222,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:16,https://twitter.com/#!/matatan2222/status/1530644108464857089,,,1530644108464857089,
matatan2222,tonyeditss,,,,,,,,,,,,,Mentions,28/05/2022 20:17,"RT @tonyeditss: ??? Hand Wraps | Desert Shamagh [FT] Skin Giveaway
??Follow me
??Like &amp; RT
??Show love on my new video.
(must leave proof)
h…",,,,28/05/2022 20:17,https://twitter.com/#!/matatan2222/status/1530644456633995274,,,1530644456633995274,
matatan2222,marjinalyt,,,,,,,,,,,,,Mentions,28/05/2022 20:18,"RT @marjinalyt: ??CSGO GIVEAWAY??

??AWP ATHERIS??

??TO ENTER:

??Follow me
??Retweet + Like
??LIKE + SUB : https://t.co/WJLmw9wPi8 (shoow proof)…",https://www.youtube.com/watch?v=6UAoO5xtvpM&feature=youtu.be,youtube.com,,28/05/2022 20:18,https://twitter.com/#!/matatan2222/status/1530644678852354049,,,1530644678852354049,
matatan2222,nikara6bets,,,,,,,,,,,,,Mentions,28/05/2022 20:19,"RT @rgLyCS: ??$25 AK-47 | Asiimov??

To enter:
?Retweet &amp; Like,
?Follow: @rgLyCS, @Nikara6Bets,
?Like &amp; Comment: https://t.co/eAMycP7P7K.

??G…",https://vm.tiktok.com/ZMLouBaFY/?k=1,tiktok.com,,28/05/2022 20:19,https://twitter.com/#!/matatan2222/status/1530644902710738946,,,1530644902710738946,
matatan2222,rglycs,,,,,,,,,,,,,Mentions,28/05/2022 20:19,"RT @rgLyCS: ??$25 AK-47 | Asiimov??

To enter:
?Retweet &amp; Like,
?Follow: @rgLyCS, @Nikara6Bets,
?Like &amp; Comment: https://t.co/eAMycP7P7K.

??G…",https://vm.tiktok.com/ZMLouBaFY/?k=1,tiktok.com,,28/05/2022 20:19,https://twitter.com/#!/matatan2222/status/1530644902710738946,,,1530644902710738946,
matatan2222,markcsgoyt,,,,,,,,,,,,,Mentions,28/05/2022 20:19,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:19,https://twitter.com/#!/matatan2222/status/1530645004082982913,,,1530645004082982913,
matatan2222,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:16,"RT @sku11ster: ?? $22 AK-47 EMPRESS
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/K2LkwpHfVM
(Post Proof)

Good luck ??-…",https://www.youtube.com/watch?v=N4BRw38Bt60&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:16,https://twitter.com/#!/matatan2222/status/1530644225649479680,,,1530644225649479680,
matatan2222,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:19,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:19,https://twitter.com/#!/matatan2222/status/1530645004082982913,,,1530645004082982913,
matatan2222,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:20,"RT @sku11ster: ?? AK-47 NEON REVOLUTION
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/5DTATznIzL
(Post Proof)

Good luc…",https://www.youtube.com/watch?v=qDsM362JZ8A&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:20,https://twitter.com/#!/matatan2222/status/1530645230118178822,,,1530645230118178822,
ardeefurry,ardeefurry,,,,,,,,,,,,,Tweet,28/05/2022 20:20,"I uploaded a second video on CS:GO UwU go check it out please i love you :heart:

https://t.co/i8AZ8NJ7M8… https://t.co/xFa6coucUB",https://www.youtube.com/watch?v=A4-E9ycoqG8 https://twitter.com/i/web/status/1530645251098132486,youtube.com twitter.com,,28/05/2022 20:20,https://twitter.com/#!/ardeefurry/status/1530645251098132486,,,1530645251098132486,
egamersworldr,egamersworldr,,,,,,,,,,,,,Tweet,28/05/2022 20:21,"OverDrive: ""?????? BoombI4 — ????? ????? ??????? ???????? ??? NAVI""

????? ???????? ?????????? ?????????? ? ???, ??… https://t.co/7FRRW52HP9",https://twitter.com/i/web/status/1530645369327079425,twitter.com,,28/05/2022 20:21,https://twitter.com/#!/egamersworldr/status/1530645369327079425,,,1530645369327079425,
fcnfan44,teambds,,,,,,,,,,,,,Mentions,28/05/2022 20:21,@ManyFtn @Monkae_lol @TheBelgianNM @XTQZZZ @KarmineCorp @TeamBDS Et même les sites de bet pour csgo ça existe toujo… https://t.co/vIJGe1Hul4,https://twitter.com/i/web/status/1530645370514071553,twitter.com,,28/05/2022 20:21,https://twitter.com/#!/fcnfan44/status/1530645370514071553,,,1530645370514071553,1530641697834782721
