,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
hofseik,valentinn007,,,,,,,,,,,,,Mentions,28/05/2022 20:14,RT @Valentinn007: Volvi a jugar CSGO después de meses https://t.co/uzY60R6pZi,,,,28/05/2022 20:14,https://twitter.com/#!/hofseik/status/1530643624341426176,,,1530643624341426176,
rzuf10,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @sku11ster: ?? $22 AK-47 EMPRESS
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/K2LkwpHfVM
(Post Proof)

Good luck ??-…",https://www.youtube.com/watch?v=N4BRw38Bt60&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:13,https://twitter.com/#!/rzuf10/status/1530643515637637120,,,1530643515637637120,
rzuf10,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:14,https://twitter.com/#!/rzuf10/status/1530643646399365125,,,1530643646399365125,
mypleasure35,tonyeditss,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @tonyeditss: ??? Hand Wraps | Desert Shamagh [FT] Skin Giveaway
??Follow me
??Like &amp; RT
??Show love on my new video.
(must leave proof)
h…",,,,28/05/2022 20:14,https://twitter.com/#!/mypleasure35/status/1530643674056511488,,,1530643674056511488,
bauchaaaa,valentinn007,,,,,,,,,,,,,Mentions,28/05/2022 20:14,RT @Valentinn007: Volvi a jugar CSGO después de meses https://t.co/uzY60R6pZi,,,,28/05/2022 20:14,https://twitter.com/#!/bauchaaaa/status/1530643680981405698,,,1530643680981405698,
dipie2110,jovzek,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @jovzek: Crazy giveaway! 
To enter!
1. Watch video I hitted 20%... CS:GO TRADEUPS
https://t.co/4p2SJ9ANQN
2. Like + retweet
3. Send to a…",https://www.youtube.com/watch?v=82KZdDL3xiI&feature=youtu.be,youtube.com,,28/05/2022 20:14,https://twitter.com/#!/dipie2110/status/1530643716389474304,,,1530643716389474304,
babosgaming,eeventlan,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"While we had 3 days full house at @FantasyBasel, our #CSGO Academy (and @RCanova89 ) are still at @EEventLAN.

Thes… https://t.co/GQcBkVvIAn",https://twitter.com/i/web/status/1530643751256866817,twitter.com,csgo,28/05/2022 20:14,https://twitter.com/#!/babosgaming/status/1530643751256866817,,,1530643751256866817,
babosgaming,rcanova89,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"While we had 3 days full house at @FantasyBasel, our #CSGO Academy (and @RCanova89 ) are still at @EEventLAN.

Thes… https://t.co/GQcBkVvIAn",https://twitter.com/i/web/status/1530643751256866817,twitter.com,csgo,28/05/2022 20:14,https://twitter.com/#!/babosgaming/status/1530643751256866817,,,1530643751256866817,
babosgaming,fantasybasel,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"While we had 3 days full house at @FantasyBasel, our #CSGO Academy (and @RCanova89 ) are still at @EEventLAN.

Thes… https://t.co/GQcBkVvIAn",https://twitter.com/i/web/status/1530643751256866817,twitter.com,csgo,28/05/2022 20:14,https://twitter.com/#!/babosgaming/status/1530643751256866817,,,1530643751256866817,
makilla44,daman_gg,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @DaMan_gg: Giving away this handsome AK47 | Point Disarray to one lucky follower ?? 

Follow the steps below ??
?? Follow @DaMan_gg 
?? F…",,,,28/05/2022 20:14,https://twitter.com/#!/makilla44/status/1530643755363184643,,,1530643755363184643,
